#{"t_start": 1780053176.0132082, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-97.297595,1000,94.658558
-100.750307,235,94.693366
-87.118744,1000,94.840348
-146.201356,451,94.906455
-163.089283,151,94.928954
-77.676473,1000,95.145507
-164.995022,332,95.194176
-182.714036,470,95.263478
-162.734413,145,95.284939
-93.289634,1000,95.50248
-175.559667,273,95.542987
-149.621279,258,95.580746
-130.875935,152,95.603141
-144.472236,333,95.655192
-26.133241,1000,95.874132
-115.723973,163,95.89819
-126.473216,218,95.931141
-176.217212,141,95.952215
-64.847729,1000,96.170122
-103.225091,251,96.207374
-151.741495,259,96.245807
-130.755315,413,96.306484
-191.073312,532,96.384523
-93.302387,246,96.420902
-188.023098,325,96.53898
-96.978128,222,96.571797
-130.208419,186,96.599437
-194.975323,378,96.654953
-168.468807,124,96.673598
-113.082774,149,96.695579
-136.112592,350,96.74738
-94.434639,189,96.775141
-105.487527,215,96.806832
-62.202412,1000,97.022708
-83.935343,1000,97.17033
-61.079157,1000,97.387248
-155.829739,289,97.4298
-166.785072,804,97.548678
-51.824698,1000,97.769571
-187.34145,237,97.805021
-142.401936,223,97.838049
-82.0358,1000,98.059359
-141.893425,400,98.12003
-133.18035,180,98.146765
-48.122031,1000,98.293093
-139.87277,311,98.409319
-100.958204,1000,98.556713
-102.761884,434,98.620432
-212.538201,889,98.820764
-88.43607,188,98.848863
-23.875262,1000,98.995255
-4.014464,1000,99.212899
-107.288346,435,99.276598
-99.889505,276,99.318659
-93.265676,138,99.339437
