timestep,ep_reward,ep_length
18028,8.150001,40
18040,5.419,17
18060,-0.6883333,5
18184,19.813334,80
18220,0.36633348,9
18224,11.372997,49
18248,24.425665,57
18260,-1.9736668,9
18280,2.2983332,15
18284,1.1696666,9
18308,-0.19433331,7
18324,0.97200036,16
18348,7.6220007,16
18352,2.797,11
18364,4.419999,10
18368,28.058334,5
18396,-1.741,7
18404,7.8476667,13
18416,-0.31833363,5
18444,2.862333,7
18464,3.9616666,5
18472,6.3856664,27
18488,-1.838,6
18532,5.997335,32
18552,1.2650001,5
18580,4.9543343,23
18600,17.087337,32
18616,5.458666,16
18640,7.025,15
18656,-0.33666682,10
18688,7.997335,22
18708,0.6209998,13
18728,2.8973336,22
18764,2.093,19
18796,5.025666,17
18852,14.558666,36
18860,109.36998,200
18876,11.366002,28
18884,1.645333,6
18888,31.646332,9
18892,6.718,24
18912,-1.3469999,9
18916,0.39899993,7
18960,-0.76933336,12
18968,6.066334,19
18988,-2.2483335,5
19016,-1.4376667,7
19036,9.776335,19
19068,24.945995,38
19140,41.788666,26
19144,12.726335,19
19160,0.19833338,5
19204,7.2969995,11
19232,1.6356668,7
19236,10.271001,23
19300,2.3819993,16
19348,32.344326,83
19364,13.627667,33
19424,2.2796667,19
19432,8.325666,17
19460,31.799,7
19480,0.97833323,5
19544,37.88833,165
19592,32.057667,73
19628,2.719667,9
19656,22.535997,58
19704,-0.796,12
19720,31.666666,60
19732,1.3856666,7
19744,11.163001,29
19752,0.7383332,5
19756,6.977668,53
19772,3.425666,7
19772,-1.5216666,5
19808,31.593,9
19844,7.9803343,31
19852,2.1866665,20
19888,3.5143337,33
19892,6.120666,12
19908,-1.575,5
19960,12.402668,38
19984,9.649667,19
20020,17.354004,42
20048,2.9219995,16
20076,27.269001,7
20104,16.612,36
20116,-1.4066668,10
20164,2.3083334,15
20212,23.416668,80
20236,5.076,18
20248,8.057669,33
20280,3.8656673,17
20288,2.5743332,13
20304,23.090338,71
20312,4.2960005,8
20396,11.1570015,21
20412,7.1969995,31
20420,9.617667,43
20452,20.692331,37
20460,3.5606668,12
20476,-1.6833335,20
20480,-2.0316668,5
20500,11.233334,20
20504,2.5676668,13
20540,-4.9583335,15
20560,-0.004999995,5
20564,9.227332,22
20584,5.6483335,5
20588,3.0523334,7
20604,-2.3183334,5
20604,-2.4950004,25
20636,6.761336,34
20644,7.9046683,14
20656,3.2709997,13
20656,2.3283334,5
20688,-1.684,8
20712,5.372334,27
20716,-1.0943333,7
20752,5.429,27
20760,2.217,11
20788,8.499666,19
20788,7.5496664,9
20808,-1.8149999,5
20836,10.02967,19
20864,0.5680001,14
20904,2.0533335,10
20916,16.016666,20
20928,3.7616663,35
20932,13.632999,69
20944,0.043333054,10
20964,0.1583333,5
20984,5.5580006,14
20988,8.194668,14
21008,5.5603337,11
21024,-1.457,9
21036,-2.899,13
21064,3.8379996,14
21084,1.1173339,42
21092,-0.46099997,17
21116,5.173333,20
21136,4.120333,11
21164,0.5523331,7
21184,10.723332,30
21200,9.783667,21
21204,5.9533334,30
21224,-2.4213333,6
21232,4.1606665,12
21244,-0.20666647,10
21268,-0.8003332,9
21288,8.246999,31
21296,-0.9623333,13
21316,1.5316668,5
21340,1.1486666,6
21360,-1.895,5
21360,27.254665,34
21368,9.910002,20
21388,0.8923335,7
21416,-1.4576666,7
21420,2.1283326,15
21428,-7.958334,15
21460,-1.9733334,10
21460,-1.1663334,11
21472,-1.063,11
21512,2.2243335,13
21524,11.171333,64
21552,20.327667,23
21556,3.7703335,21
21576,5.815333,16
21612,34.448334,15
21616,4.353333,10
21636,45.056,28
21652,-0.8703333,9
21656,0.80700004,11
21672,-0.05699992,9
21708,3.3163333,9
21712,15.466335,39
21748,2.159667,9
21756,6.018333,25
21760,7.601,13
21808,-5.6916666,15
21820,21.340662,42
21832,3.4296663,19
21884,-1.4056667,13
21912,5.5623326,7
21936,4.911334,44
21968,14.493331,40
21996,8.418333,15
22060,5.4520016,16
22072,17.320002,40
22088,-1.7976667,7
22092,34.41933,68
22152,-0.56833327,15
22160,31.784,22
22216,4.2846665,14
22220,7.509001,17
22256,-1.1103332,9
22268,3.3809998,13
22288,-1.8206668,8
22316,1.1156669,7
22324,5.3513336,14
22336,24.027332,62
22340,4.1520004,6
22356,24.878334,5
22360,-0.7836666,9
22368,-0.48433304,7
22408,2.707333,12
22412,-0.9663334,11
22480,8.247,31
22492,17.006668,20
22500,-1.5189995,23
22512,-2.1383333,5
22536,-1.9670001,9
22572,5.381667,15
22588,4.744333,13
22608,-2.7016668,5
22620,22.641668,35
22628,-1.4783332,5
22632,9.6483345,15
22652,-1.6179999,6
22656,0.30533338,6
22656,56.65398,172
22680,-2.5583334,15
22696,0.19666672,10
22716,6.7316666,15
22736,9.241334,14
22796,33.215,15
22804,7.3023357,27
22828,9.139334,28
22860,3.6280005,14
22868,34.57466,54
22892,0.028666675,6
22896,4.6396666,9
22904,4.6456666,27
22920,3.8943338,23
22924,3.4726665,8
22968,2.800333,11
22980,4.7616653,15
23000,10.324668,24
23004,5.746333,9
23036,11.585004,35
23052,2.6039999,12
23084,-3.0193334,12
23108,3.7513335,14
23152,16.910997,43
23168,3.9603333,21
23172,-3.0183332,5
23184,2.8896666,19
23204,3.1526666,8
23212,-1.0776668,7
23216,2.257333,12
23248,27.997335,62
23264,2.871,13
23276,4.002333,7
23284,-2.9416666,5
23300,7.581335,24
23304,-0.68166685,5
23324,-1.075,5
23328,5.3923335,7
23380,2.2209997,13
23392,6.7323337,17
23416,28.006332,9
23456,30.126665,60
23468,1.7463341,19
23500,4.269333,8
23500,0.6069999,11
23500,13.730334,21
23568,34.874336,73
23572,2.6959994,18
23576,1.6763339,19
23620,-0.24899983,13
23648,6.4259996,18
23660,4.024,22
23672,17.594332,43
23680,2.7216675,15
23736,9.460667,22
23752,0.9659995,18
23796,12.718003,34
23844,11.112333,27
23848,0.21433342,13
23872,1.1023332,7
23908,10.785,15
23912,21.92,60
23916,1.6469996,11
23932,-1.0983334,5
23936,-1.1243334,7
23964,12.491003,53
23972,0.31966686,9
23992,0.031666636,5
23992,-1.2443334,7
24012,-0.021666601,5
24020,15.652,26
24028,29.446333,9
24032,10.371666,25
24048,-0.11033344,9
24052,-0.63166666,5
24064,-0.143,11
24156,8.040999,23
24176,23.260338,31
24208,3.4676666,13
24244,7.3423343,17
24316,14.985667,27
24328,43.478333,75
24360,-2.0463333,11
24388,-0.8310001,7
24412,17.817333,42
24416,2.6290002,7
24464,3.5606666,12
24500,30.069668,9
24520,24.109333,48
24548,8.974668,34
24568,4.2116666,5
24604,-2.3279998,26
24660,9.281001,23
24676,9.586333,39
24696,0.87166667,5
24704,-0.119666815,11
24724,93.58634,169
24724,14.243337,30
24744,1.4773335,12
24772,1.4890001,7
24792,5.392333,17
24800,1.9930005,19
24824,8.047666,13
24864,1.5533333,10
24884,11.391667,45
24944,7.2633343,20
24948,17.026339,39
24972,20.531004,43
24992,4.6169996,11
25016,0.31533337,6
25016,-0.043000102,11
25036,4.025,5
25044,5.6533337,40
25044,2.6316671,25
25068,2.3153334,6
25088,7.6826673,18
25108,-1.5583333,5
25120,1.0843333,13
25136,-1.5443332,7
25164,3.713666,11
25216,3.4500003,20
25220,15.707999,44
25252,-0.9536666,9
25252,2.9893336,8
25268,5.8886666,26
25272,3.705,5
25280,-0.45433342,7
25308,4.362333,7
25344,-0.91366637,9
25364,3.2676668,23
25392,2.2656662,7
25408,12.575003,35
25432,26.152,6
25440,15.108001,24
25476,13.413668,21
25484,-0.96299994,11
25548,-5.214,18
25552,17.453333,30
25560,51.440315,131
25568,0.031666756,5
25588,1.4583334,5
25588,3.5490003,7
25608,-0.36833334,5
25616,7.6443343,33
25628,6.939667,19
25640,4.964334,13
25660,2.196,8
25684,4.146333,19
25704,25.865,5
25724,1.8653333,16
25724,1.4583335,5
25744,1.0083333,5
25760,0.8863334,9
25768,6.290668,32
25780,0.22300017,9
25792,0.95266676,8
25820,2.6999998,10
25848,1.5723331,7
25876,1.2869998,21
25948,8.675,45
