timestep,ep_reward,ep_length
15896,6.7536664,11
15908,1.6716666,15
15916,31.998995,77
15960,-1.4590003,13
15964,3.2673335,12
15972,7.975667,27
15984,2.218333,5
15988,1.8023332,7
16020,27.112667,8
16040,16.752,36
16048,26.472332,7
16072,27.169334,8
16076,2.1756668,7
16092,0.8216667,5
16112,8.285001,35
16124,1.6640003,12
16148,2.5463333,9
16148,20.383669,41
16168,4.2436666,11
16188,6.8380003,24
16212,1.6336668,11
16268,11.626667,30
16280,8.257668,33
16292,1.2799997,20
16316,18.177332,32
16320,0.9690001,7
16344,3.282,6
16372,2.641333,14
16392,-2.225,5
16428,37.526672,40
16432,12.677335,22
16472,10.03,20
16480,28.681,13
16504,5.015333,6
16508,-1.6270001,9
16528,29.070667,62
16532,13.098336,25
16532,2.099,7
16548,1.7133334,10
16552,-3.4916666,5
16572,2.4936664,11
16572,2.4516666,5
16616,9.463668,21
16632,2.2816672,15
16648,14.009667,19
16680,9.074001,12
16696,5.360667,12
16700,39.450333,21
16732,7.726001,8
16744,0.030667067,12
16748,39.192333,17
16848,0.898667,26
16868,0.9849999,5
16884,42.446,38
16896,2.8923333,7
16908,25.636673,90
16928,0.4283334,5
16936,33.399002,47
16956,-0.024999976,5
16960,2.7229996,19
16984,28.825666,7
16996,6.038333,25
17004,6.636333,19
17024,3.0056672,7
17044,8.116667,10
17072,2.184,12
17124,7.3233337,20
17124,16.097,41
17156,4.6359997,8
17184,-2.127667,7
17188,18.729666,29
17200,27.691343,54
17216,6.2493334,8
17244,2.0013332,14
17252,10.307335,32
17252,5.6396666,9
17268,2.9086666,6
17280,1.6956667,7
17296,12.871334,24
17328,9.030666,12
17332,6.136334,9
17348,16.931337,24
17368,1.0929998,9
17388,0.8616663,15
17416,29.149,7
17420,22.315998,38
17436,8.135666,17
17444,-5.601,7
17444,-1.6013331,6
17472,4.0989995,7
17480,4.1563334,9
17508,1.1923337,7
17520,30.440998,43
17548,2.749,7
17552,7.583,29
17592,15.629999,30
17596,2.9736664,11
17616,1.3190002,17
17624,3.4256666,7
17640,2.737333,12
17644,3.881667,5
17644,4.1889997,7
17680,30.434328,43
17692,3.6810002,13
17708,9.9053335,16
17720,9.819667,19
17724,0.08700001,11
17736,-1.4676666,7
17740,1.0440003,12
17744,3.6849995,5
17764,0.055000067,5
17784,-1.8183333,5
17784,1.9836667,11
17804,-0.16499996,5
17812,2.219,7
17828,11.694334,23
17848,5.2236676,11
17872,1.0086664,6
17884,31.11033,41
17884,7.0793347,18
17908,-0.41700006,9
17920,7.5063343,9
17956,3.629334,18
17960,3.8833337,10
17988,0.8126663,8
17992,7.0236664,21
17996,1.7863333,9
18052,7.194999,15
18096,2.1869998,11
18104,37.69966,69
18124,13.731335,34
18160,3.928,14
